Team,TotalPK,Away_Wins,Home_Wins,TotalCleansheet,TotalShots,TotalShotOnTarget,TotalxG,TotalGF,TotalxGA,TotalGA,Wins,Losses,Draws,Points,AVGShot,AvgPoss
Arsenal,9,12,14,17,610,199,72,88,22,28,26,5,5,83,17,58
AstonVilla,4,8,12,8,484,175,61,73,57,53,20,9,7,67,13,54
Bournemouth,2,6,7,9,517,170,54,53,55,65,13,15,9,48,14,45
Brentford,3,5,5,7,470,159,60,56,56,65,10,19,9,39,12,45
BrightonandHoveAlbion,4,4,8,6,555,199,54,56,57,62,12,14,12,48,15,60
Burnley,3,3,2,2,430,137,40,41,68,78,5,24,9,24,11,47
Chelsea,10,7,11,8,537,194,75,77,59,63,18,11,9,63,14,59
CrystalPalace,4,5,8,10,452,162,48,57,51,58,13,15,10,49,12,42
Everton,2,5,8,13,504,152,53,40,57,51,13,16,9,48,13,41
Fulham,1,4,9,10,498,173,51,55,65,61,13,17,8,47,13,51
Liverpool,6,9,15,10,781,264,89,86,47,41,24,4,10,82,21,61
LutonTown,4,2,4,2,428,135,41,52,77,85,6,24,8,26,11,42
ManchesterCity,8,14,14,13,684,265,82,96,32,34,28,3,7,91,18,65
ManchesterUnited,5,8,10,9,535,182,56,57,68,58,18,14,6,60,14,51
NewcastleUnited,7,6,12,10,542,197,71,85,59,62,18,14,6,60,14,52
NottinghamForest,1,4,5,4,450,141,52,49,52,67,9,20,9,36,12,41
SheffieldUnited,5,1,2,1,360,117,38,35,76,104,3,28,7,16,9,36
TottenhamHotspur,2,7,14,7,582,207,69,74,66,61,21,11,6,69,15,62
WestHamUnited,4,7,7,5,445,146,50,60,73,74,14,14,10,52,12,41
WolverhamptonWanderers,4,5,8,5,425,154,46,50,69,65,13,18,7,46,11,49
